Family,Type,Subtype,Full Type Code,id_product_fulltype
stationery,writing_correction_supplies,erasable_markers,stationery-writing_correction_supplies-erasable_markers,5894
stationery,writing_correction_supplies,correction_tape,stationery-writing_correction_supplies-correction_tape,5893
stationery,writing_correction_supplies,correction_pens,stationery-writing_correction_supplies-correction_pens,5892
stationery,writing_correction_supplies,correction_fluid,stationery-writing_correction_supplies-correction_fluid,5891
stationery,writing_correction_supplies,compasses,stationery-writing_correction_supplies-compasses,5890
stationery,writing_correction_supplies,china_markers,stationery-writing_correction_supplies-china_markers,5889
stationery,writing_correction_supplies,chalk,stationery-writing_correction_supplies-chalk,5888
stationery,time_clocks_cards,time_clocks,stationery-time_clocks_cards-time_clocks,5887
stationery,time_clocks_cards,time_cards,stationery-time_clocks_cards-time_cards,5886
stationery,time_clocks_cards,time_card_racks,stationery-time_clocks_cards-time_card_racks,5885
stationery,tape_adhesives_fasteners,transparent_tape,stationery-tape_adhesives_fasteners-transparent_tape,5884
stationery,tape_adhesives_fasteners,tag_fasteners,stationery-tape_adhesives_fasteners-tag_fasteners,5883
stationery,tape_adhesives_fasteners,tag_attacher_guns,stationery-tape_adhesives_fasteners-tag_attacher_guns,5882
stationery,tape_adhesives_fasteners,rubber_bands,stationery-tape_adhesives_fasteners-rubber_bands,5881
stationery,tape_adhesives_fasteners,rings,stationery-tape_adhesives_fasteners-rings,5880
stationery,tape_adhesives_fasteners,pins_tacks,stationery-tape_adhesives_fasteners-pins_tacks,5879
stationery,tape_adhesives_fasteners,packaging_tape_dispensers,stationery-tape_adhesives_fasteners-packaging_tape_dispensers,5878
stationery,tape_adhesives_fasteners,packaging_tape,stationery-tape_adhesives_fasteners-packaging_tape,5877
stationery,tape_adhesives_fasteners,office_tape_dispensers,stationery-tape_adhesives_fasteners-office_tape_dispensers,5876
stationery,tape_adhesives_fasteners,mounting_tape,stationery-tape_adhesives_fasteners-mounting_tape,5875
stationery,tape_adhesives_fasteners,masking_tape,stationery-tape_adhesives_fasteners-masking_tape,5874
stationery,tape_adhesives_fasteners,magnetic_tape,stationery-tape_adhesives_fasteners-magnetic_tape,5873
stationery,tape_adhesives_fasteners,liquid_white_glues,stationery-tape_adhesives_fasteners-liquid_white_glues,5872
stationery,tape_adhesives_fasteners,film_tape_dry_adhesives,stationery-tape_adhesives_fasteners-film_tape_dry_adhesives,5871
stationery,tape_adhesives_fasteners,clips,stationery-tape_adhesives_fasteners-clips,5870
stationery,tape_adhesives_fasteners,clamps,stationery-tape_adhesives_fasteners-clamps,5869
stationery,tape_adhesives_fasteners,bag_seals,stationery-tape_adhesives_fasteners-bag_seals,5868
stationery,stationery,sticky_notes,stationery-stationery-sticky_notes,5867
stationery,stationery,sets,stationery-stationery-sets,5866
stationery,stationery,notepads,stationery-stationery-notepads,5864
stationery,stationery,notecard_sets,stationery-stationery-notecard_sets,5863
stationery,stationery,notebooks,stationery-stationery-notebooks,5862
stationery,stationery,letter_writing_stationery,stationery-stationery-letter_writing_stationery,5861
stationery,stationery,announcements,stationery-stationery-announcements,5859
stationery,staplers_punches,staples,stationery-staplers_punches-staples,5858
stationery,staplers_punches,staple_removers,stationery-staplers_punches-staple_removers,5857
stationery,staplers_punches,punches,stationery-staplers_punches-punches,5856
stationery,staplers_punches,plier_clipper_staplers,stationery-staplers_punches-plier_clipper_staplers,5855
stationery,staplers_punches,paper_drills,stationery-staplers_punches-paper_drills,5854
stationery,staplers_punches,heavy_duty_staplers,stationery-staplers_punches-heavy_duty_staplers,5853
stationery,staplers_punches,desktop_staplers,stationery-staplers_punches-desktop_staplers,5852
stationery,presentation_boards,signs,stationery-presentation_boards-signs,5851
stationery,presentation_boards,poster_boards,stationery-presentation_boards-poster_boards,5850
stationery,presentation_boards,message_boards,stationery-presentation_boards-message_boards,5849
stationery,presentation_boards,foam_boards,stationery-presentation_boards-foam_boards,5848
stationery,presentation_boards,easel_style_dry_erase_boards,stationery-presentation_boards-easel_style_dry_erase_boards,5847
stationery,presentation_boards,dry_erase_boards,stationery-presentation_boards-dry_erase_boards,5846
stationery,presentation_boards,display_booths,stationery-presentation_boards-display_booths,5845
stationery,presentation_boards,combination_boards,stationery-presentation_boards-combination_boards,5844
stationery,presentation_boards,changeable_letter_boards,stationery-presentation_boards-changeable_letter_boards,5843
stationery,presentation_boards,chalkboards,stationery-presentation_boards-chalkboards,5842
stationery,presentation_boards,bulletin_boards,stationery-presentation_boards-bulletin_boards,5841
stationery,paper,wide_format_paper,stationery-paper-wide_format_paper,5826
stationery,paper,postcards,stationery-paper-postcards,5825
stationery,paper,photo_paper,stationery-paper-photo_paper,5824
stationery,paper,machine_rolls,stationery-paper-machine_rolls,5823
stationery,paper,laser_printer_paper,stationery-paper-laser_printer_paper,5822
stationery,paper,inkjet_printer_paper,stationery-paper-inkjet_printer_paper,5821
stationery,paper,index_cards,stationery-paper-index_cards,5820
stationery,paper,image_transfer_sheets,stationery-paper-image_transfer_sheets,5819
stationery,paper,greeting_cards,stationery-paper-greeting_cards,5818
stationery,paper,flip_charts,stationery-paper-flip_charts,5817
stationery,paper,filler_paper,stationery-paper-filler_paper,5816
stationery,paper,dry_erase_sheets,stationery-paper-dry_erase_sheets,5815
stationery,paper,cover_stock,stationery-paper-cover_stock,5814
stationery,paper,copy_multipurpose_paper,stationery-paper-copy_multipurpose_paper,5813
stationery,paper,computer_paper,stationery-paper-computer_paper,5812
stationery,paper,colored_paper,stationery-paper-colored_paper,5811
stationery,paper,classroom_paper,stationery-paper-classroom_paper,5810
stationery,paper,card_stock,stationery-paper-card_stock,5809
stationery,paper,carbon_carbonless_copy_paper,stationery-paper-carbon_carbonless_copy_paper,5808
stationery,paper,business_cards,stationery-paper-business_cards,5807
stationery,paper,brochure_paper,stationery-paper-brochure_paper,5806
stationery,office_storage_supplies,storage_file_boxes,stationery-office_storage_supplies-storage_file_boxes,5805
stationery,office_storage_supplies,modular_storage_systems,stationery-office_storage_supplies-modular_storage_systems,5804
stationery,office_electronics,typewriters,stationery-office_electronics-typewriters,5802
stationery,office_electronics,shredders,stationery-office_electronics-shredders,5801
